ID;Name;Frequency
841;Сафия;27
842;Марьям;25
843;Любовь;24
844;Милена;24
845;Елена;23
846;Эмилия;23
847;Лидия;22
848;Ярослава;22
849;Марина;20
850;Элина;18
851;Надежда;17
852;Амелия;15
853;Агата;15
854;Есения;15
855;Майя;15
856;Анфиса;14
857;Дарина;14
858;Олеся;14
859;Светлана;14
860;Фатима;14
861;Ясмина;14
862;Агния;13
863;Каролина;13
864;Наталья;13
865;Аделина;12
866;Лилия;12
867;Мила;12
868;Ника;12
869;Нина;12
870;Аиша;11
871;Амира;11
872;Ариана;11
873;Виолетта;11
874;Евдокия;11
875;Камила;11
876;Карина;11
877;Мадина;11
878;Николь;11
879;Сабина;11
880;Антонина;10
881;Зоя;10
882;Эмма;10
883;Камилла;9
884;Марта;9
885;Серафима;9
886;Алия;8
887;Евангелина;8
888;Марфа;8
889;Марьяна;8
890;Моника;8
891;Оливия;8
892;Самира;8
893;Сумая;8
894;Айлин;7
895;Алеся;7
896;Владислава;7
897;Хадиджа;7
898;Эвелина;7
899;Анжелика;6
900;Валентина;6
901;Мария;291
902;София;279
903;Анна;246
904;Елизавета;207
905;Анастасия;206
906;Виктория;196
907;Полина;193
908;Дарья;184
909;Александра;182
910;Алиса;178
911;Софья;158
912;Варвара;150
913;Екатерина;150
914;Вероника;140
915;Арина;135
916;Василиса;125
917;Валерия;122
918;Ксения;115
919;Вера;95
920;Милана;95
921;Ева;94
922;Таисия;79
923;Кира;75
924;Ульяна;70
925;Маргарита;67
926;Ольга;57
927;Алина;51
928;Кристина;51
929;Алёна;49
930;Диана;48
931;Юлия;45
932;Татьяна;40
933;Амина;39
934;Злата;39
935;Мирослава;38
936;Евгения;37
937;Надежда;34
938;Эмилия;30
939;Елена;28
940;Стефания;28
941;Аделина;27
942;Есения;27
943;Ирина;26
944;Яна;25
945;Ангелина;23
946;Майя;23
947;Сафия;23
948;Элина;23
949;Ярослава;22
950;Марьям;21
951;Светлана;21
952;Марина;20
953;Николь;20
954;Милена;19
955;Дарина;18
956;Агата;17
957;Любовь;17
958;Оливия;17
959;Ясмина;17
960;Лилия;16
961;Наталья;16
962;Олеся;16
963;Лидия;15
964;Малика;15
965;Мила;15
966;Алисия;14
967;Антонина;14
968;Карина;14
969;Нина;14
970;Пелагея;14
971;Владислава;13
972;Камила;13
973;Самира;13
974;Фатима;13
975;Марьяна;12
976;Ника;12
977;Агния;11
978;Евдокия;11
979;Марта;11
980;Тамара;11
981;Аглая;10
982;Ариана;10
983;Камилла;10
984;Мадина;10
985;Мия;10
986;Серафима;10
987;Эвелина;10
988;Евангелина;9
989;Амелия;8
990;Альбина;8
991;Аврора;8
992;Алия;8
993;Анфиса;8
994;Виолетта;8
995;Зоя;8
996;Лейла;8
997;Станислава;8
998;Алеся;7
999;Амалия;7
1000;Анисия;7
1001;Мария;241
1002;Анна;229
1003;Анастасия;215
1004;Елизавета;214
1005;София;211
1006;Виктория;206
1007;Полина;187
1008;Алиса;171
1009;Дарья;160
1010;Екатерина;160
1011;Александра;146
1012;Варвара;140
1013;Арина;133
1014;Ева;111
1015;Вероника;107
1016;Валерия;103
1017;Василиса;102
1018;Ксения;101
1019;Софья;96
1020;Милана;86
1021;Ульяна;76
1022;Таисия;68
1023;Кира;64
1024;Вера;63
1025;Маргарита;61
1026;Алёна;53
1027;Алина;52
1028;Кристина;46
1029;Злата;45
1030;Ольга;44
1031;Мирослава;42
1032;Амина;40
1033;Диана;39
1034;Ирина;32
1035;Юлия;32
1036;Стефания;31
1037;Марина;27
1038;Татьяна;27
1039;Ярослава;25
1040;Елена;24
1041;Евгения;22
1042;Марьям;22
1043;Надежда;22
1044;Элина;22
1045;Есения;21
1046;Ангелина;20
1047;Агата;19
1048;Нина;19
1049;Сафия;19
1050;Светлана;19
1051;Аделина;18
1052;Николь;18
1053;Эмилия;17
1054;Яна;16
1055;Агния;15
1056;Карина;15
1057;Ника;15
1058;Лилия;14
1059;Амира;13
1060;Лидия;13
1061;Любовь;13
1062;Майя;13
1063;Милена;13
1064;Ясмина;13
1065;Амелия;12
1066;Антонина;12
1067;Зоя;11
1068;Мадина;11
1069;Малика;11
1070;Оливия;11
1071;Фатима;11
1072;Ариана;10
1073;Алия;10
1074;Дарина;10
1075;Олеся;10
1076;Валентина;9
1077;Камилла;9
1078;Наталья;9
1079;Амалия;8
1080;Виолетта;8
1081;Евдокия;8
1082;Мира;8
1083;Пелагея;8
1084;Сабина;8
1085;Тамара;8
1086;Анфиса;7
1087;Аиша;7
1088;Дана;7
